GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
GALNS	0.6684325265596005	8.996420212774964	5.224391502106311	6.931079644206768e-6	0.0032161164538248724	3.7409478092067943	T3d	1	0.6684325265596005	0.9889917555118295	0
FAM149A	0.5136358876274363	8.11471758900147	5.2117235044245165	7.209844366838288e-6	0.0033045231795208307	3.7048071671413414	T3d	1	0.5691450691716572	0.9925632261652706	0
MGAT4B	-0.6906951409565778	6.7329629930992745	-5.199462815758958	7.490252917668331e-6	0.0034014032396906574	3.669836101667295	T3d	-1	-0.6059959181258909	0.9987177418016739	0
WTIP	-0.6643673891046085	6.498701009736429	-5.196934486211686	7.549411587731523e-6	0.003406022253421323	3.6626255135985755	T3d	-1	-0.6026110794625734	0.9993762813316489	0
PLOD1	-0.5622203126364429	7.450413537572642	-5.196605569268839	7.557141751519794e-6	0.003406022253421323	3.6616874935920496	T3d	-1	-0.5343498171815848	0.9919305260331529	0
CTTNBP2	0.5670918469514064	8.795463024242645	5.193080662095561	7.64047919583095e-6	0.0034253200006569883	3.6516353560070822	T3d	1	0.5447520057463731	0.9766909882387215	0
KIAA1468	-0.5822901119984074	8.091914854259928	-5.192068389171902	7.664580180480058e-6	0.0034253200006569883	3.648748730185998	T3d	-1	-0.5822901119984074	0.9659465901628161	0
RNF34	-0.5166777166137049	6.962402692182613	-5.183357401549806	7.875125522349849e-6	0.0035035242402862246	3.6239104476024107	T3d	-1	-0.5166777166137049	0.9969843603229191	0
SCYL2	-0.5801427022089243	10.039401802586347	-5.179323872619182	7.974553467743599e-6	0.00351331472021381	3.6124107069171068	T3d	-1	-0.5801427022089243	0.9263686352938728	0
TAF1	-0.5415958293019223	7.662079694675133	-5.178852071948998	7.986264712791434e-6	0.00351331472021381	3.611065642453516	T3d	-1	-0.5415958293019223	0.9999999999963847	1
FGFR1	-0.5525333195665798	6.044716608286099	-5.176074400110112	8.055560629228218e-6	0.003528049135668476	3.603146973496285	T3d	-1	-0.5525333195665798	0.9992648327951356	0
DHX29	-0.7188786706210841	7.460384139275216	-5.1699564092179475	8.210303425792004e-6	0.00356570756579058	3.585707096560384	T3d	-1	-0.6084668491756883	0.9999993090905528	0
PPP2R5A	-0.5149373616098032	8.706685625707559	-5.169814990175164	8.213915055859042e-6	0.00356570756579058	3.5853039931219115	T3d	-1	-0.5230612738756419	0.9734547647723399	0
ITPR2	0.5664549756362991	7.4615451931552235	5.161772020945994	8.421939339896446e-6	0.003631398068583658	3.5623799790117214	T3d	1	0.5664549756362991	0.9168900261882523	0
TATDN1	0.5343046792194546	7.436269721916867	5.161080029466422	8.440079754745372e-6	0.003631398068583658	3.56040783741272	T3d	1	0.5343046792194546	0.9999999647042306	0
COPS7A	-0.5326800577271857	9.476692018277316	-5.150692370540553	8.7171016252126885e-06	0.003705581345231322	3.5308067600639497	T3d	-1	-0.5238525828240146	0.9998630677457958	0
NDRG1	-0.6936494346624471	5.994774282849408	-5.150432490949502	8.724146781003701e-6	0.003705581345231322	3.5300662755883465	T3d	-1	-0.6936494346624471	0.9665823834844002	0
RALGPS1	-0.5241987204416283	8.879260807792633	-5.144415407783569	8.888856602771236e-6	0.0037454200648139695	3.5129226644803513	T3d	-1	-0.5241987204416283	0.9982489190803128	0
BTBD3	0.6774178437007112	10.471155974571799	5.139095018263972	9.037066284389236e-6	0.0037814462241880426	3.4977657906508135	T3d	1	0.640147237506052	0.9994814620005494	0
PFKFB2	-0.5270424047547593	7.928961131159466	-5.129822035538514	9.301273218729052e-6	0.0038430442998742065	3.4713526406110944	T3d	-1	-0.5270424047547593	0.9867769376156219	0
BCAS2	-0.5514565361227	7.833202010619672	-5.128135733808924	9.350137352184837e-6	0.0038542779627334413	3.466549931469597	T3d	-1	-0.6690623024876154	0.9998604437369729	0
SRC	-0.5733075485585104	8.410453394257361	-5.119237021585748	9.612249604142724e-6	0.003930333197059885	3.4412086005203353	T3d	-1	-0.5733075485585104	0.9993956500020655	0
DHCR24	-0.5298293268458067	8.054238543119519	-5.118114310579008	9.645833286470465e-6	0.003934513041746271	3.4380117399020804	T3d	-1	-0.5298293268458067	0.9856321271680794	0
NIF3L1	-0.6288696115456291	5.3879196921080785	-5.104584656957443	1.0059825007732257e-5	0.004062767524229312	3.3994928987988526	T3d	-1	-0.6288696115456291	0.9129294831666129	1
MAP3K7	-0.5165426385366185	10.097669088034449	-5.101736617450556	1.0149194146740236e-5	0.004082130161665618	3.3913860093639308	T3d	-1	-0.5165426385366185	0.9999999999996947	0
MAN2A2	-0.5959952977344116	9.39526831965537	-5.09737618665003	1.0287550326535949e-5	0.004100277600222487	3.3789751264052867	T3d	-1	-0.558036787218473	0.9705408398398906	0
RRN3	-0.5357221172626403	6.698541514403978	-5.0946929924884525	1.0373616810089425e-5	0.00411362956820858	3.371338685630761	T3d	-1	-0.6811587221700082	0.9999998413060943	1
